rank,name,score,source,SMILES
"
48,AG-205/33681014,1.485,Specs,"c1ccc(cc1)n1c(cc(c2ccc(cc2)Br)n1)N=Cc1c2ccccc2cc2ccccc12	AG-205/33681014
"
49,AO-476/41610195,1.482,Specs,"C(#N)c1c(c2ccc(cc2)F)c2c(c3ccccc3CC2)nc1OCc1ccc(cc1)F	AO-476/41610195
"
50,AO-476/43421038,1.482,Specs,"c1ccc(c(c1)n1c(c2c(c(nnc2C)N2CCCC2)n1)C)Cl	AO-476/43421038
"
51,AE-842/31985041,1.478,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)[C@H]2[C@H]1[C@@H]1CC[C@H]2C1	AE-842/31985041
"
52,AO-476/43380568,1.476,Specs,"C(#N)c1c(c2c(C)nn(c3ccccc3)c2nc1O)c1cccs1	AO-476/43380568
"
53,AG-219/34246016,1.475,Specs,"c1ccc(cc1)c1cc(nc(c2ccc(cc2)Br)n1)OCCC	AG-219/34246016
"
54,AO-476/40672205,1.474,Specs,"C(#N)c1c(c2c(C)nn(c3ccccc3)c2nc1OCC=C)c1ccc(cc1)Cl	AO-476/40672205
"
55,AG-690/40749964,1.474,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749964
"
56,AO-476/43380569,1.474,Specs,"C(#N)c1c(c2c(C)nn(c3ccccc3)c2nc1O)c1cccnc1	AO-476/43380569
"
57,AG-205/36286009,1.473,Specs,"c1ccc(cc1)n1c(cc(c2ccc(cc2)C)n1)NC=C(C(=O)C)C(=O)C	AG-205/36286009
"
58,AO-476/43201381,1.472,Specs,"c1ccc(cc1)n1c(c2c(c(nnc2C)N2CCOCC2)n1)C	AO-476/43201381
"
59,AM-807/13104264,1.471,Specs,"C(#N)c1c(cc(c2cccs2)nc1SCCC#N)c1ccc(cc1)Cl	AM-807/13104264
"
60,AK-249/12180001,1.469,Specs,"c1ccc(cc1)n1c2c(c3cc(c(cc3c(c3ccccc3OC)n2)OC)OC)c(C)n1	AK-249/12180001
"
61,AG-690/40749470,1.468,Specs,"C(#N)c1c(cc(c2ccc(cc2)OC)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749470
"
62,AK-968/11841125,1.467,Specs,"c1cc(ccc1C=C1C(=O)N(c2ccc(cc2)CC)C(=Nc2ccc(cc2)CC)S1)OC	AK-968/11841125
"
63,AF-399/15128496,1.466,Specs,"c1ccc2c(c1)c(c1ccc(cc1)F)nnc2Oc1ccc(cc1OC)C=O	AF-399/15128496
"
64,AH-034/32857054,1.465,Specs,"c1ccc(cc1)c1cc(c2ccc(cc2)Br)nc(c2ccccc2)n1	AH-034/32857054
"
65,AH-262/14317002,1.464,Specs,"c1ccc(cc1)c1c2c(c(cc3c(c(C)oc23)C(=O)C)O)n(c2ccccc2)n1	AH-262/14317002
"
66,AK-249/37190001,1.461,Specs,"c1ccc(cc1)n1c2c(c3cc(c(cc3c(c3ccccc3Cl)n2)OC)OC)c(C)n1	AK-249/37190001
"
67,AO-476/43421106,1.461,Specs,"c1ccc(cc1)n1c(c2c(c(nnc2C)OCC)n1)C	AO-476/43421106
"
68,AK-087/42718235,1.46,Specs,"C(#N)Cc1cc(c2ccc(cc2)Cl)nn1c1ccccc1	AK-087/42718235
"
69,AE-842/32998057,1.459,Specs,"c1ccc(cc1)C1=NN(c2ccc(cc2)Cl)[C@@H]2CCCC[C@H]12	AE-842/32998057
"
70,AG-205/37386021,1.458,Specs,"c1ccc(cc1)n1c2c(c(c(c(C)n2)C)C)c(C)n1	AG-205/37386021
"
71,AO-476/43250047,1.455,Specs,"c1cc(ccc1n1c(c2c(c(nnc2C)N2CCCCC2)n1)C)OCC	AO-476/43250047
"
72,AE-848/32730016,1.453,Specs,"c1ccc2c(c1)c(cn2C)c1cc(c2ccc(cc2)Br)nc(c1)c1ccc(cc1)Br	AE-848/32730016
"
73,AK-968/11840335,1.453,Specs,"c1cc(ccc1C=C1C(=O)N(c2ccc(cc2)CC)C(=Nc2ccc(cc2)CC)S1)O	AK-968/11840335
"
74,AE-842/32998057,1.451,Specs,"c1ccc(cc1)C1=NN(c2ccc(cc2)Cl)[C@@H]2CCCC[C@H]12	AE-842/32998057
"
75,AK-968/12097159,1.451,Specs,"c1cc(ccc1C=C1C(=O)N(c2ccc(cc2)CC)C(=Nc2ccc(cc2)CC)S1)C(C)C	AK-968/12097159
"
76,AG-205/36408043,1.451,Specs,"c1ccc(cc1)C1=Cc2c(c(C)nn2c2ccccc2)[C@@H](c2ccccc2)C1	AG-205/36408043
"
77,AK-968/11986610,1.451,Specs,"c1cc2c(cc1C=C1C(=O)N(c3ccc(cc3)CC)C(=Nc3ccc(cc3)CC)S1)OCO2	AK-968/11986610
"
78,AK-087/11538930,1.45,Specs,"C(#N)Cc1cc(c2ccc(cc2)C)nn1c1ccccc1	AK-087/11538930
"
79,AA-516/30011054,1.45,Specs,"c1ccc(cc1)c1nc(c2c(n1)[nH]nc2N)C	AA-516/30011054
"
80,AF-399/15539335,1.448,Specs,"C(#N)C1=C(N=CN(C)C)Oc2c(c(c3ccccc3)nn2c2ccccc2)[C@H]1c1ccc(cc1)F	AF-399/15539335
"
81,AG-690/40146962,1.448,Specs,"c1ccc(cc1)c1nc2ccccc2c(c2ccc(cc2)[N](=O)O)n1	AG-690/40146962
"
82,AO-476/43421024,1.448,Specs,"c1ccc(cc1)n1c(c2c(c(nnc2C)N(CC)CC)n1)C	AO-476/43421024
"
83,AO-476/42008142,1.447,Specs,"C(#N)c1c(c2ccc(cc2)OC)c2c(c3ccccc3CC2)nc1OCc1ccc(cc1)Cl	AO-476/42008142
"
84,AK-968/37129435,1.446,Specs,"c1cc(ccc1CC)N=C1N(c2ccc(cc2)CC)C(=O)C(=Cc2cc(c(o2)Br)Br)S1	AK-968/37129435
"
85,AO-476/43421047,1.445,Specs,"c1cc(ccc1C)n1c(c2c(c(nnc2C)N(C)CC)n1)C	AO-476/43421047
"
86,AE-842/32998057,1.445,Specs,"c1ccc(cc1)C1=NN(c2ccc(cc2)Cl)[C@@H]2CCCC[C@H]12	AE-842/32998057
"
87,AG-690/11481219,1.445,Specs,"C(#N)c1c(cc(c2ccccc2)nc1Br)c1ccc(cc1)Br	AG-690/11481219
"
88,AE-842/32998057,1.444,Specs,"c1ccc(cc1)C1=NN(c2ccc(cc2)Cl)[C@@H]2CCCC[C@H]12	AE-842/32998057
"
89,AF-399/15539335,1.443,Specs,"C(#N)C1=C(N=CN(C)C)Oc2c(c(c3ccccc3)nn2c2ccccc2)[C@H]1c1ccc(cc1)F	AF-399/15539335
"
90,AG-205/37081173,1.443,Specs,"c1ccc(cc1)c1cc(c2ccccc2)nc2cc(c3ccc(cc3)C(C)(C)C)nn12	AG-205/37081173
"
91,AH-487/41078165,1.443,Specs,"c1ccc(cc1)C=C1C(=C(C)N(c2ccc(cc2)Cl)C1=O)C(=O)OCC	AH-487/41078165
"
92,AO-476/43421054,1.442,Specs,"c1cc(ccc1C)n1c(c2c(c(nnc2C)N2CCOCC2)n1)C	AO-476/43421054
"
93,AE-848/34408042,1.441,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC=C)c1ccc(cc1)OC	AE-848/34408042
"
94,AK-968/12096338,1.441,Specs,"c1cc(cc(c1)OC)C=C1C(=O)N(c2ccc(cc2)CC)C(=Nc2ccc(cc2)CC)S1	AK-968/12096338
"
95,AB-131/40897260,1.441,Specs,"c1ccc(cc1)c1c(c2ccccc2)c(c2ccccc2)oc1c1ccccc1	AB-131/40897260
"
96,AN-329/14226019,1.44,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC(=C)C)c1ccccc1	AN-329/14226019
"
97,AG-690/11191338,1.44,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)C(=O)C1=NNc1ccc(cc1)C	AG-690/11191338
"
98,AG-690/33056021,1.44,Specs,"c1ccc(cc1)N=C1N(c2ccccc2)C(=O)C(=Cc2ccc(cc2)F)S1	AG-690/33056021
"
99,AG-690/11191348,1.439,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)C(=O)C1=NNc1ccccc1Cl	AG-690/11191348
"
100,AG-690/11191350,1.439,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)C(=O)C1=NNc1ccc(cc1)Cl	AG-690/11191350
"
